last_name,first_name,div,tourns,games,wins,losses
Ahonen,Minja,G17,1,3,0,3
Ala-Mikkula,Anni,G17,1,3,0,3
Autio,Kia,G17,1,3,0,3
Huhtinen,Inka,G17,1,3,0,3
Jokinen,Anni,G17,1,3,0,3
Kauppi,Hanna,G17,1,3,0,3
Orhanen,Saara,G17,1,3,0,3
Peltonen,Emma,G17,1,3,0,3
Rekola,Merituuli,G17,1,3,0,3
Riikonen,Sanni,G17,1,3,0,3
Rostén,Inka,G17,1,3,0,3
Rostén,Senni,G17,1,3,0,3
Saari,Salla,G17,1,3,0,3
Tamminen,Emilia,G17,1,3,0,3
Autio,Kia,G19,3,26,10,16
Malmström,Silja,G19,3,26,10,16
Rekola,Merituuli,G19,3,26,10,16
Seppänen,Elina,G19,3,26,10,16
Stenberg,Emmi,G19,3,26,10,16
Niini,Kata,G19,4,25,11,14
Kalliokoski,Terhi,G19,4,24,8,16
Pienihäkkinen,Laura,G19,3,22,3,19
Surakka,Susanna,G19,3,22,3,19
Virolainen,Mia,G19,3,22,3,19
Elonheimo,Marja,G19,3,20,6,14
Tarhanen,Nora,G19,2,20,6,14
Wuolamo,Jutta,G19,2,20,6,14
Koskenvuo,Mira,G19,3,19,5,14
Sandberg,Sanna,G19,3,19,5,14
Rentto,Olga,G19,2,19,2,17
Inkinen,Essi,G19,2,17,6,11
Mikonaho,Heini,G19,2,17,6,11
Yli-Kyyny,Elina,G19,2,17,6,11
Paunonen,Heidi,G19,2,17,5,12
Räsänen,Henna-Kaisa,G19,3,16,7,9
Sahlsten,Sonja,G19,3,16,7,9
Salonen,Noora,G19,3,16,7,9
Toivio,Susanna,G19,3,16,7,9
Leino,Sanna-Maija,G19,2,14,4,10
Lipiäinen,Anastasia,G19,1,11,2,9
Berg,Linda,G19,2,11,1,10
Heimo,Tinja,G19,2,11,1,10
Pekkala,Sannukka,G19,2,11,1,10
Valkola,Anni,G19,2,11,1,10
Haavisto,Jutta,G19,2,10,3,7
Hynninen,Viivi,G19,1,9,4,5
Kivistö,Mea,G19,1,9,4,5
Leino,Sanna,G19,1,9,4,5
Säyniö,Iida,G19,1,9,4,5
Väisänen,Manja,G19,1,9,4,5
Kallunki,Laura,G19,1,8,4,4
Kauppi,Hanna,G19,1,8,4,4
Mattila,Katri,G19,1,8,4,4
Niemi,Marja-Riitta,G19,1,8,4,4
Vanhanen,Annukka,G19,1,8,4,4
Lappalainen,Laura,G19,2,8,3,5
Rahnasto,Emmi,G19,2,8,3,5
Ala-Mikkula,Anni,G19,1,8,1,7
Huhtinen,Inka,G19,1,8,1,7
Jokinen,Anni,G19,1,8,1,7
Kauppi,Hanna,G19,1,8,1,7
Näsänen,Eevi,G19,1,8,1,7
Niemelä,Viivi,G19,1,8,1,7
Nissinen,Milla,G19,1,8,1,7
Orhanen,Saara,G19,1,8,1,7
Peltonen,Emma,G19,1,8,1,7
Reunanen,Hanna,G19,1,8,1,7
Riikonen,Sanni,G19,1,8,1,7
Saha,Sofia,G19,1,8,1,7
Tammilehto,Anna,G19,1,8,1,7
Tamminen,Emilia,G19,1,8,1,7
Hakkola,Terhi,G19,1,8,0,8
Känsälä,Aino,G19,1,8,0,8
Kuusivaara,Marina,G19,1,8,0,8
Lappalainen,Karoliina,G19,1,8,0,8
Makkonen,Ida,G19,1,8,0,8
Berg,Kirsi,G19,1,7,3,4
Haaramo,Eeva,G19,1,7,3,4
Kajamaa,Suvi,G19,1,7,3,4
Kaltula,Anu,G19,1,7,3,4
Laakso,Jenni,G19,1,7,3,4
Lehto,Tuuli,G19,1,7,3,4
Littunen,Jenni,G19,1,7,3,4
Lundström,Heli,G19,1,7,3,4
Maila,Reetta,G19,1,7,3,4
Namiq,Mihraban,G19,1,7,3,4
Nykänen,Soila,G19,1,7,3,4
Räike,Anna,G19,1,7,3,4
Salmikivi,Laura,G19,1,7,3,4
Suuripää,Riikka,G19,1,7,3,4
Tanskanen,Henna,G19,1,7,3,4
Tuokko,Riikka,G19,1,7,3,4
Forsman,Emmi,G19,1,6,4,2
Hiitola,Fiina,G19,1,6,4,2
Kojo,Heta,G19,1,6,4,2
Komulainen,Minna,G19,1,6,4,2
Laakkonen,Tiina,G19,1,6,4,2
Vuolamo,Jutta,G19,1,6,4,2
Hautamäki,Arttu,G19,2,6,1,5
Kolu,Nina,G19,1,5,3,2
Hovinen,Nadia,G19,1,3,1,2
Löytönen,Linnea,G19,1,3,1,2
Rajala,Liisi,G19,1,3,1,2
Roimela,Pasi,G19,1,3,1,2
Viljanen,Milla,G19,1,3,1,2
Linnala,Anne-Mari,G19,1,3,0,3
Väänänen,Saana,G19,1,3,0,3
Autio,Kia,G23,1,9,2,7
Inkinen,Essi,G23,1,9,2,7
Kivistö,Mea,G23,1,9,2,7
Kopola,Riinamari,G23,1,9,2,7
Leino,Maija,G23,1,9,2,7
Porvari,Jenna,G23,1,9,2,7
Purmonen,Sanna,G23,1,9,2,7
Rekola,Merituuli,G23,1,9,2,7
Salo,Anni,G23,1,9,2,7
Sariola,Raakel,G23,1,9,2,7
Surakka,Susanna,G23,1,9,2,7
Tarhanen,Nora,G23,1,9,2,7
Teräväinen,Terhi,G23,1,9,2,7
Viljanen,Milla,G23,1,9,2,7
Wuolamo,Jutta,G23,1,9,2,7
Yli-Kyyny,Elina,G23,1,9,2,7
Kuosmanen,Arttu,J17,2,15,11,4
Paunonen,Petteri,J17,2,15,11,4
Autio,Kia,J17,1,9,7,2
Kallio,Lassi,J17,1,9,7,2
Kokkonen,Konsta,J17,1,9,7,2
Lamberg,Eemi,J17,1,9,7,2
Malmström,Silja,J17,1,9,7,2
Nässi,Teemu,J17,1,9,7,2
Nykänen,Topi,J17,1,9,7,2
Päällysaho,Elias,J17,1,9,7,2
Sihvo,Jarno,J17,1,9,7,2
Tikander,Veikko,J17,1,9,7,2
Hakkola,Tero,J17,1,6,4,2
Kinnunen,Pekka,J17,1,6,4,2
Kuisma,Matias,J17,1,6,4,2
Malmström,Mikko,J17,1,6,4,2
Mykkänen,Ville,J17,1,6,4,2
Niemi,Tuomas,J17,1,6,4,2
Nieminen,Joni,J17,1,6,4,2
Ylä-Autio,Anton,J17,1,6,4,2
Rantalaiho,Juho,J19,6,50,21,29
Honkanen,Mika,J19,5,47,20,27
Suomalainen,Juha,J19,5,43,20,23
Kalliokoski,Teemu,J19,5,40,17,23
Nieminen,Niko,J19,5,40,17,23
Murkka,Juuso,J19,4,39,18,21
Nieminen,Olli,J19,4,36,15,21
Ranta,Pekka,J19,5,34,15,19
Kinnunen,Kimmo,J19,4,32,13,19
Bruns,Tomi,J19,4,31,13,18
Tiittanen,Paavo,J19,4,30,13,17
Kallio,Lassi,J19,4,29,17,12
Kokko,Juho,J19,3,29,14,15
Paanasalo,Mikko,J19,3,28,18,10
Kärkkäinen,Joakim,J19,4,28,17,11
Sihvo,Jarno,J19,3,26,17,9
Huhtala,Jyri,J19,3,24,11,13
Mykkänen,Ville,J19,3,24,11,13
Rämö,Ilkka,J19,3,24,11,13
Parpala,Matti,J19,3,24,10,14
Kuusakoski,Timo,J19,3,22,13,9
Elonheimo,Antti,J19,3,22,11,11
Hämäläinen,Hanne,J19,3,22,11,11
Härkönen,Heikki,J19,2,21,9,12
Karru,Kristian,J19,2,21,9,12
Karvonen,Sakari,J19,3,21,9,12
Littunen,Niko,J19,2,21,9,12
Makkonen,Tuomas,J19,3,21,9,12
Nuora,Aleksi,J19,2,21,9,12
Pesonen,Petteri,J19,3,21,9,12
Sandberg,Tomi,J19,3,20,12,8
Suormala,Mikko,J19,3,20,12,8
Pulakka,Juho,J19,2,19,10,9
Grym,Aleksi,J19,3,19,8,11
Hakkola,Tero,J19,2,18,14,4
Hotari,Roni,J19,2,18,14,4
Kokkonen,Konsta,J19,2,18,14,4
Päällysaho,Elias,J19,2,18,14,4
Paunonen,Petteri,J19,2,18,14,4
Ratilainen,Mickey,J19,2,18,14,4
Salo,Santeri,J19,2,18,14,4
Visuri,Ora,J19,2,18,14,4
Vaskio,Timo,J19,3,18,8,10
Nieminen,Joni,J19,2,17,11,6
Kokkonen,Tatu,J19,2,17,8,9
Visuri,Kerkko,J19,2,17,8,9
Keinänen,Jari,J19,2,16,8,8
Lindberg,Janne,J19,2,16,8,8
Kaakinen,Jukka,J19,2,16,7,9
Kalliokoski,Sami,J19,2,16,7,9
Lehto,Jani,J19,2,16,7,9
Oksanen,Jenni,J19,2,16,7,9
Siitonen,Juho,J19,2,16,7,9
Suominen,Jesse,J19,2,16,7,9
Tiittanen,Heikki,J19,2,16,7,9
Timperi,Henri,J19,2,16,7,9
Ylönen,Tommi,J19,2,16,7,9
Roimela,Pasi,J19,2,16,5,11
Härkönen,Markku,J19,2,15,8,7
Pitkänen,Mikko,J19,2,15,8,7
Ervamaa,Johannes,J19,2,14,8,6
Forsman,Niklas,J19,2,14,8,6
Taponen,Esa,J19,2,14,8,6
Ylä-Rautio,Jaakko,J19,2,14,8,6
Haaramo,Topi,J19,2,14,7,7
Kaakinen,Mikko,J19,2,14,7,7
Teirikangas,Miika,J19,2,14,7,7
Knuuttila,Anssi,J19,2,14,6,8
Dahlström,Petri,J19,2,13,4,9
Kerttula,Janne,J19,2,13,4,9
Luostarinen,Janne,J19,2,13,4,9
