start_date,type,div,no_of_countries,country,placing,spirit_placing,spirit_score,no_of_spirit_placings,no_of_spirit_scores
1986-08-25,WC,J19,3,gb,3,1,NULL,1,0
1986-08-25,WC,OPN,15,dk,15,1,NULL,1,0
1986-08-25,WC,WMN,14,jp,13,1,NULL,1,0
1988-08-28,WC,OPN,16,au,16,1,NULL,1,0
1989-08-20,EC,OPN,11,fr,10,1,NULL,1,0
1992-08-17,WC,OPN,10,nz,8,1,NULL,1,0
1993-08-30,EC,J19,4,gb,4,1,NULL,1,0
1993-08-30,EC,MAS,4,se,2,1,NULL,1,0
1993-08-30,EC,OPN,10,gb,4,1,NULL,1,0
1993-08-30,EC,WMN,7,dk,7,1,NULL,1,0
1994-08-21,WC,J19,5,gb,4,1,NULL,1,0
1994-08-21,WC,MAS,7,it,5,1,NULL,1,0
1994-08-21,WC,OPN,15,nz,14,1,NULL,1,0
1994-08-21,WC,WMN,13,jp,6,1,NULL,1,0
1995-08-26,EC,J19,7,fi,3,1,NULL,1,0
1995-08-26,EC,MAS,4,de,1,1,NULL,1,0
1995-08-26,EC,OPN,11,se,1,1,NULL,2,0
1995-08-26,EC,OPN,11,fi,2,1,NULL,2,0
1995-08-26,EC,WMN,9,gb,5,1,NULL,1,0
1998-08-16,WC,MIX,4,br,4,1,NULL,1,0
1998-08-16,WC,OPN,11,za,11,1,NULL,1,0
1998-08-16,WC,WMN,8,fi,4,1,NULL,1,0
2001-08-19,WG,MIX,6,se,4,1,NULL,1,0
2003-08-23,EC,J19,6,fi,4,1,NULL,1,0
2003-08-23,EC,MAS,5,gb,1,1,NULL,1,0
2003-08-23,EC,MIX,10,cz,3,1,NULL,1,0
2003-08-23,EC,OPN,11,ie,11,1,NULL,1,0
2003-08-23,EC,WMN,9,fr,8,1,NULL,1,0
2004-08-01,WC,G19,7,gb,7,1,NULL,2,0
2004-08-01,WC,G19,7,au,6,1,NULL,2,0
2004-08-01,WC,J19,9,au,7,1,NULL,1,0
2004-08-01,WC,MAS,9,jp,6,1,NULL,1,0
2004-08-01,WC,MIX,13,au,5,1,NULL,1,0
2004-08-01,WC,OPN,18,ie,14,1,NULL,1,0
2004-08-01,WC,WMN,14,ie,14,1,NULL,1,0
2008-07-03,EC,G17,2,se,1,1,NULL,1,0
2008-07-03,EC,J17,3,at,1,1,NULL,1,0
2008-07-03,IN,J19,3,be,1,1,NULL,1,0
2008-08-02,WC,G19,7,au,2,1,NULL,1,0
2008-08-02,WC,J19,8,au,6,4,NULL,1,0
2009-08-06,EC,J19,14,fi,1,1,NULL,1,0
2010-07-19,WC,G23,8,de,8,1,NULL,1,0
2010-07-19,WC,M23,8,at,6,1,NULL,1,0
2010-07-19,WC,U23,15,ch,7,1,NULL,1,0
2010-08-02,EC,G17,3,de,1,1,NULL,1,0
2010-08-02,WC,G19,14,co,1,1,NULL,1,0
2010-08-02,EC,J17,7,be,4,1,NULL,1,0
2010-08-02,WC,J19,18,il,17,1,NULL,1,0
2011-07-30,EC,MAS,6,ch,6,1,NULL,1,0
2011-07-30,EC,MIX,15,de,5,1,NULL,1,0
2011-07-30,EC,OPN,17,be,16,1,NULL,1,0
2011-07-30,EC,WMN,12,at,10,1,NULL,2,0
2011-07-30,EC,WMN,12,nl,12,1,NULL,2,0
2011-08-08,EC,G17,3,fi,3,1,NULL,1,0
2011-08-08,EC,G19,8,cz,5,1,NULL,1,0
2011-08-08,EC,J17,7,de,1,1,NULL,1,0
